relative_path,expected_cdn_url,status,suggested_action,suggested_fix
"/images/interior/kitchen/interior-detail-D9D61891.jpeg","https://d1t6lpjdsu4646.cloudfront.net/images/interior/kitchen/interior-detail-D9D61891.jpeg",403,CHECK_PERMISSIONS,""
"/images/interior/kitchen/interior-room-0DC5EADA.jpeg","https://d1t6lpjdsu4646.cloudfront.net/images/interior/kitchen/interior-room-0DC5EADA.jpeg",403,CHECK_PERMISSIONS,""
"/images/interior/kitchen/kitchen-1.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/interior/kitchen/kitchen-1.jpg",200,KEEP,""
"/images/interior/kitchen/kitchen-2.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/interior/kitchen/kitchen-2.jpg",200,KEEP,""
"/images/interior/kitchen/kitchen-4.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/interior/kitchen/kitchen-4.jpg",200,KEEP,""
"/images/interior/kitchen/kitchen-detail-1B21C73B.jpeg","https://d1t6lpjdsu4646.cloudfront.net/images/interior/kitchen/kitchen-detail-1B21C73B.jpeg",403,CHECK_PERMISSIONS,""
"/images/interior/kitchen/kitchen-workspace.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/interior/kitchen/kitchen-workspace.jpg",403,CHECK_PERMISSIONS,""
"/images/interior/lounge/interior-room-6D088E35.jpeg","https://d1t6lpjdsu4646.cloudfront.net/images/interior/lounge/interior-room-6D088E35.jpeg",403,CHECK_PERMISSIONS,""
"/images/interior/lounge/interior-room-800F4A11.jpeg","https://d1t6lpjdsu4646.cloudfront.net/images/interior/lounge/interior-room-800F4A11.jpeg",403,CHECK_PERMISSIONS,""
"/images/interior/lounge/lounge-360-poster.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/interior/lounge/lounge-360-poster.jpg",200,KEEP,""
"/images/interior/lounge/lounge-fireplace.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/interior/lounge/lounge-fireplace.jpg",403,CHECK_PERMISSIONS,""
"/images/interior/lounge/lounge-main.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/interior/lounge/lounge-main.jpg",403,CHECK_PERMISSIONS,""
"/images/interior/lounge/lounge-workspace-32a352bb.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/interior/lounge/lounge-workspace-32a352bb.jpg",200,KEEP,""
"/images/interior/master-bedroom-1.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/interior/master-bedroom-1.jpg",403,CHECK_PERMISSIONS,""
"/images/interior/master-bedroom-2.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/interior/master-bedroom-2.jpg",403,CHECK_PERMISSIONS,""
"/images/interior/master-bedroom-3.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/interior/master-bedroom-3.jpg",403,CHECK_PERMISSIONS,""
"/images/interior/master-bedroom-360-poster.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/interior/master-bedroom-360-poster.jpg",403,CHECK_PERMISSIONS,""
"/images/interior/rear-bedroom-360-poster.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/interior/rear-bedroom-360-poster.jpg",403,CHECK_PERMISSIONS,""
"/images/interior/utility/interior-room-A55A6AE6.jpeg","https://d1t6lpjdsu4646.cloudfront.net/images/interior/utility/interior-room-A55A6AE6.jpeg",403,CHECK_PERMISSIONS,""
"/images/interior/view-front-bedroom-1200.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/interior/view-front-bedroom-1200.jpg",403,CHECK_PERMISSIONS,""
